==== test ====
n_dim = 24
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "gs"

==== solver ====
solve with gs

iter	||true residual||	||relative residual||
0	07.60176026494212e+00	01.00000000000000e+00
1	04.34006490119174e+00	05.70928936184333e-01
2	01.05843142324096e+00	01.39235043772986e-01
3	04.17599884079806e-01	05.49346295496449e-02
4	04.24104133337418e-01	05.57902536460280e-02
5	03.65793047031404e-01	04.81195189380507e-02
6	02.81862289745398e-01	03.70785554821156e-02
7	02.05703262787158e-01	02.70599513294076e-02
8	01.45604511824327e-01	01.91540520549994e-02
9	01.01099081625215e-01	01.32994304084365e-02
10	06.96337814251234e-02	09.16021802821923e-03
11	04.87155966259245e-02	06.40846263602808e-03
12	03.63098550370894e-02	04.77650620008941e-03
13	03.03638280518263e-02	03.99431539453546e-03
14	02.83864061082469e-02	03.73418854566615e-03
15	02.81249412188695e-02	03.69979323717644e-03
16	02.82619634042241e-02	03.71781829723872e-03
17	02.82561997853946e-02	03.71706010194860e-03
18	02.79576071287924e-02	03.67778069215463e-03
19	02.73717672498970e-02	03.60071434719277e-03
20	02.65543401298377e-02	03.49318305291753e-03
21	02.55691573810553e-02	03.36358376085279e-03
22	02.44732929415747e-02	03.21942446073193e-03
23	02.33130118741134e-02	03.06679125118278e-03
24	02.21238837151433e-02	02.91036325062426e-03
25	02.09322950263261e-02	02.75361157110700e-03
26	01.97572451457188e-02	02.59903554665299e-03
27	01.86120032886775e-02	02.44838072235881e-03
28	01.75054966213641e-02	02.30282145335419e-03
29	01.64434175667929e-02	02.16310656922803e-03
30	01.54290824236006e-02	02.02967232402167e-03
31	01.44640851810826e-02	01.90272840460231e-03
32	01.35487891733168e-02	01.78232260701528e-03
33	01.26826933438901e-02	01.66838901805155e-03
34	01.18647030350633e-02	01.56078363715060e-03
35	01.10933288441767e-02	01.45931053565805e-03
36	01.03668316986812e-02	01.36374094122530e-03
37	09.68332795554176e-03	01.27382706347626e-03
38	09.04086492736043e-03	01.18931202935394e-03
39	08.43747462036605e-03	01.10993695227118e-03
40	07.87121148128123e-03	01.03544589765370e-03
41	07.34017845230677e-03	09.65589310433569e-04
42	06.84254451164521e-03	09.00126322478456e-04
43	06.37655603972168e-03	08.38826247800677e-04
44	05.94054372770188e-03	07.81469491362224e-04
45	05.53292628040799e-03	07.27848036187723e-04
46	05.15221181880009e-03	06.77765627858736e-04
47	04.79699762664115e-03	06.31037741187919e-04
48	04.46596868799432e-03	05.87491387829016e-04
49	04.15789530938065e-03	05.46964803475331e-04
50	03.87162999976786e-03	05.09307037426987e-04
51	03.60610368391651e-03	04.74377454462380e-04
52	03.36032124438512e-03	04.42045148395732e-04
53	03.13335632247369e-03	04.12188258149121e-04
54	02.92434525984606e-03	03.84693170782113e-04
55	02.73248003621449e-03	03.59453592454918e-04
