==== test ====
n_dim = 24
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "jacobi"

==== solver ====
solve with jacobi

iter	||true residual||	||relative residual||
0	07.60176026494212e+00	01.00000000000000e+00
1	01.35045942513433e+02	01.77650883225349e+01
2	02.33341537401458e+03	03.06957243150096e+02
3	04.10210615095972e+04	05.39625824544594e+03
4	07.21223981788597e+05	09.48759177679866e+04
5	01.26816976511733e+07	01.66825803618919e+06
6	02.22990791713518e+08	02.93340994640294e+07
7	03.92099984694797e+09	05.15801565728254e+08
8	06.89456310779632e+10	09.06969289677910e+09
9	01.21231835458571e+12	01.59478635517710e+11
10	02.13170257638526e+13	02.80422231442402e+12
11	03.74831896040387e+14	04.93085657764085e+13
12	06.59092651323954e+15	08.67026357518225e+14
13	01.15892784903984e+17	01.52455195724153e+16
14	02.03782238594565e+18	02.68072435188952e+17
15	03.58324297763812e+19	04.71370163324323e+18
16	06.30066208190891e+20	08.28842513090866e+19
17	01.10788866169974e+22	01.45741068264032e+21
18	01.94807667950820e+23	02.56266524017123e+22
19	03.42543694185060e+24	04.50611019351408e+23
20	06.02318089735410e+25	07.92340285332578e+24
21	01.05909724038451e+27	01.39322631005462e+26
22	01.86228337435927e+28	02.44980545222896e+27
23	03.27458068454208e+29	04.30766108166265e+28
24	05.75791998533271e+30	07.57445615838103e+29
25	01.01245459346897e+32	01.33186861750721e+31
26	01.78026840672948e+33	02.34191600982176e+32
27	03.13036813743913e+34	04.11795166953079e+33
28	05.50434116499103e+35	07.24087707734748e+34
29	09.67866088919518e+36	01.27321311799733e+36
30	01.70186537861864e+38	02.23877801891139e+37
31	02.99250671151639e+39	03.93659706070614e+38
32	05.26192995696243e+40	06.92198882044393e+39
33	09.25241262297732e+41	01.21714080693227e+41
34	01.62691522019516e+43	02.14018222555397e+42
35	02.86071670337042e+44	03.76322930961596e+43
36	05.03019453955371e+45	06.61714440371399e+44
37	08.84493633219427e+46	01.16353792068206e+46
38	01.55526586706349e+48	02.04592859135019e+47
39	02.73473072773681e+49	03.59749667501206e+48
40	04.80866475090115e+50	06.32572533637741e+49
41	08.45540529896901e+51	01.11229570576748e+51
42	01.48677195174472e+53	01.95582588759268e+52
43	02.61429317499934e+54	03.43906290633232e+53
44	04.59689113507143e+55	06.04714036599052e+54
45	08.08302921408331e+56	01.06331019821300e+56
46	01.42129450874431e+58	01.86969130728715e+57
47	02.49915969259036e+59	03.28760656149078e+58
48	04.39444403017246e+60	05.78082427886973e+59
49	07.72705257354024e+61	01.01648201261699e+61
50	01.35870069260870e+63	01.78735009426010e+62
51	02.38909668923032e+64	03.14282035471229e+63
52	04.20091269662367e+65	05.52623675334447e+64
53	07.38675314574206e+66	09.71716140511345e+65
54	01.29886350839864e+68	01.70863518860066e+67
55	02.28388086100060e+69	03.00441053308854e+68
56	04.01590448381735e+70	05.28286126351280e+69
57	07.06144050617363e+71	09.28921757601283e+70
58	01.24166155403256e+73	01.63338688771713e+72
59	02.18329873828811e+74	02.87209628059052e+73
60	03.83904403348020e+75	05.05020403127568e+74
61	06.75045463661835e+76	08.88012039494348e+75
62	01.18697877397704e+78	01.56145252232061e+77
63	02.08714625268239e+79	02.74560914832833e+78
64	03.66997251811884e+80	04.82779302452362e+79
65	06.45316458606466e+81	08.48903985544694e+80
66	01.13470422378489e+83	01.49268614667832e+82
67	01.99522832294666e+84	02.62469250990232e+83
68	03.50834691300423e+85	04.61517699944322e+84
69	06.16896719058620e+86	08.11518250455267e+85
70	01.08473184500278e+88	01.42694824250820e+87
71	01.90735845922263e+89	02.50910104074053e+88
72	03.35383930021781e+90	04.41192458500051e+89
73	05.89728584959845e+91	07.75778983296226e+90
74	01.03696024999217e+93	01.36410543591388e+92
75	01.82335838466611e+94	02.39860022036619e+93
76	03.20613620334755e+95	04.21762340774366e+94
77	05.63756935600907e+96	07.41613673613002e+95
78	09.91292516226493e+97	01.30403022678595e+97
79	01.74305767374593e+99	02.29296585658533e+98
80	3.06493795148393e+100	04.03187925514942e+99
81	5.38929077788838e+101	7.08953004311747e+100
82	9.47635989647700e+102	1.24660073012039e+102
83	1.66629340647200e+104	2.19198363062912e+103
84	2.92995807122552e+105	3.85431527581570e+104
85	5.15194638939107e+106	6.77730711023718e+105
86	9.05902096682827e+107	1.19170042872922e+107
87	1.59290983785128e+109	2.09544866232822e+108
88	2.80092270546071e+110	3.68457121487773e+109
89	4.92505464876022e+111	6.47883447663252e+110
90	8.66006164539441e+112	1.13921793684194e+112
91	1.52275808190088e+114	2.00316509443682e+113
92	2.67757005774622e+115	3.52230268309653e+114
93	4.70815522133986e+116	6.19350657906561e+115
94	8.27867249415243e+117	1.08904677411784e+117
95	1.45569580957723e+119	1.91494569526301e+118
96	2.55964986115526e+120	3.36718045813662e+119
97	4.50080804561424e+121	5.92074452330615e+120
98	7.91407972273327e+122	1.04108514961087e+122
99	1.39158696000843e+124	1.83061147879941e+123
100	2.44692287051751e+125	3.21888981661558e+124
101	4.30259244037859e+126	5.65999490962814e+125
102	7.56554361849897e+127	9.95235755248666e+126
103	1.33030146444394e+129	1.74999134158313e+128
104	2.33916037702100e+130	3.07712989557006e+129
105	4.11310625123017e+131	5.41072871003185e+130
106	7.23235704575927e+132	9.51405568406771e+131
107	1.27171498236155e+134	1.67292171554852e+133
108	2.23614374419075e+135	2.94161308204288e+134
109	3.93196503464783e+136	5.17244019491290e+135
110	6.91384401108265e+137	9.09505663177513e+136
111	1.21570864919618e+139	1.59924623616822e+138
112	2.13766396430309e+140	2.81206442955271e+139
113	3.75880127800471e+141	4.94464590700077e+140
114	6.60935829179120e+142	8.69451029950564e+141
115	1.16216883517869e+144	1.52881542520933e+143
116	2.04352123433538e+145	2.68822110026241e+144
117	3.59326365393158e+146	4.72688368048520e+145
118	6.31828212485641e+147	8.31160402939189e+146
119	1.11098691479543e+149	1.46148638746093e+148
120	1.95352455059091e+150	2.56983183171429e+149
121	3.43501630751800e+151	4.51871170334015e+150
122	6.04002495353616e+152	7.94556095302244e+151
123	1.06205904640085e+154	1.39712252081780e+153
124	                  inf	                  inf
125	                  inf	                  inf
126	                  inf	                  inf
127	                  inf	                  inf
128	                  inf	                  inf
129	                  inf	                  inf
130	                  inf	                  inf
131	                  inf	                  inf
132	                  inf	                  inf
133	                  inf	                  inf
134	                  inf	                  inf
135	                  inf	                  inf
136	                  inf	                  inf
137	                  inf	                  inf
138	                  inf	                  inf
139	                  inf	                  inf
140	                  inf	                  inf
141	                  inf	                  inf
142	                  inf	                  inf
143	                  inf	                  inf
144	                  inf	                  inf
145	                  inf	                  inf
146	                  inf	                  inf
147	                  inf	                  inf
148	                  inf	                  inf
149	                  inf	                  inf
150	                  inf	                  inf
151	                  inf	                  inf
152	                  inf	                  inf
153	                  inf	                  inf
154	                  inf	                  inf
155	                  inf	                  inf
156	                  inf	                  inf
157	                  inf	                  inf
158	                  inf	                  inf
159	                  inf	                  inf
160	                  inf	                  inf
161	                  inf	                  inf
162	                  inf	                  inf
163	                  inf	                  inf
164	                  inf	                  inf
165	                  inf	                  inf
166	                  inf	                  inf
167	                  inf	                  inf
168	                  inf	                  inf
169	                  inf	                  inf
170	                  inf	                  inf
171	                  inf	                  inf
172	                  inf	                  inf
173	                  inf	                  inf
174	                  inf	                  inf
175	                  inf	                  inf
176	                  inf	                  inf
177	                  inf	                  inf
178	                  inf	                  inf
179	                  inf	                  inf
180	                  inf	                  inf
181	                  inf	                  inf
182	                  inf	                  inf
183	                  inf	                  inf
184	                  inf	                  inf
185	                  inf	                  inf
186	                  inf	                  inf
187	                  inf	                  inf
188	                  inf	                  inf
189	                  inf	                  inf
190	                  inf	                  inf
191	                  inf	                  inf
192	                  inf	                  inf
193	                  inf	                  inf
194	                  inf	                  inf
195	                  inf	                  inf
196	                  inf	                  inf
197	                  inf	                  inf
198	                  inf	                  inf
199	                  inf	                  inf
200	                  inf	                  inf
201	                  inf	                  inf
202	                  inf	                  inf
203	                  inf	                  inf
204	                  inf	                  inf
205	                  inf	                  inf
206	                  inf	                  inf
207	                  inf	                  inf
208	                  inf	                  inf
209	                  inf	                  inf
210	                  inf	                  inf
211	                  inf	                  inf
212	                  inf	                  inf
213	                  inf	                  inf
214	                  inf	                  inf
215	                  inf	                  inf
216	                  inf	                  inf
217	                  inf	                  inf
218	                  inf	                  inf
219	                  inf	                  inf
220	                  inf	                  inf
221	                  inf	                  inf
222	                  inf	                  inf
223	                  inf	                  inf
