==== test ====
n_dim = 6
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "gs"

==== solver ====
solve with gs

iter	||true residual||	||relative residual||
0	03.50310637764334e+00	01.00000000000000e+00
1	01.01461556468787e+00	02.89633101399119e-01
2	04.87747518753549e-01	01.39232859688855e-01
3	02.29026063919939e-01	06.53779929098277e-02
4	01.03819963513394e-01	02.96365432051874e-02
5	04.67478368128474e-02	01.33446809126865e-02
6	02.71307046875938e-02	07.74475615720398e-03
7	02.47566563865873e-02	07.06705812435019e-03
8	02.51522125293210e-02	07.17997394821957e-03
9	02.47737267861889e-02	07.07193105647422e-03
10	02.36526786682469e-02	06.75191561957615e-03
11	02.21588050556322e-02	06.32547307071478e-03
12	02.05400961140234e-02	05.86339491290054e-03
13	01.89286963061895e-02	05.40340322720188e-03
14	01.73877123161708e-02	04.96351250625398e-03
15	01.59436723153834e-02	04.55129550650679e-03
16	01.46047382144015e-02	04.16908213453301e-03
17	01.33702263078691e-02	03.81667721916675e-03
18	01.22354245996843e-02	03.49273566962460e-03
19	01.11939813156725e-02	03.19544430255157e-03
20	01.02390666167115e-02	02.92285346572879e-03
21	09.36392225434803e-03	02.67303394327621e-03
22	08.56210858796772e-03	02.44414746940335e-03
23	07.82760338411108e-03	02.23447493175385e-03
24	07.15482906326812e-03	02.04242414930072e-03
25	06.53864629693254e-03	01.86652804455550e-03
26	05.97433260196220e-03	01.70543853309454e-03
27	05.45755503572438e-03	01.55791872908977e-03
28	04.98434137532039e-03	01.42283471810340e-03
29	04.55105183556344e-03	01.29914748367564e-03
30	04.15435223654943e-03	01.18590524771452e-03
31	03.79118897405589e-03	01.08223632552271e-03
32	03.45876587814950e-03	09.87342519834161e-04
33	03.15452292032736e-03	09.00493042534869e-04
34	02.87611667461104e-03	08.21018937068621e-04
35	02.62140241720743e-03	07.48307968589561e-04
36	02.38841774489007e-03	06.81799947650132e-04
37	02.17536759529580e-03	06.20982454081009e-04
38	01.98061055849870e-03	05.65386929480321e-04
39	01.80264637632910e-03	05.14585108757617e-04
40	01.64010453273369e-03	04.68185763127479e-04
41	01.49173384431028e-03	04.25831728613911e-04
42	01.35639296441388e-03	03.87197195343628e-04
43	01.23304171634877e-03	03.51985233511030e-04
