==== test ====
n_dim = 12
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "jacobi"

==== solver ====
solve with jacobi

iter	||true residual||	||relative residual||
0	05.21645447001793e+00	01.00000000000000e+00
1	04.50538339123841e+01	08.63686900198887e+00
2	03.67331682782910e+02	07.04178834290961e+01
3	03.06135460013000e+03	05.86865009121699e+02
4	02.54575542997700e+04	04.88024086974970e+03
5	02.11763803939043e+05	04.05953517194822e+04
6	01.76145493297174e+06	03.37672827989944e+05
7	01.46518756670059e+07	02.80878051389482e+06
8	01.21875016987991e+08	02.33635734172472e+07
9	01.01376240340335e+09	01.94339356210246e+08
10	08.43252561750845e+09	01.61652433965928e+09
11	07.01421636026673e+10	01.34463291121999e+10
12	05.83445973068592e+11	01.11847228116723e+11
13	04.85313235306905e+12	09.30350754705690e+11
14	04.03685940490670e+13	07.73870342031917e+12
15	03.35787954447218e+14	06.43709163718751e+13
16	02.79310075091532e+15	05.35440454233604e+14
17	02.32331496750876e+16	04.45382008193925e+15
18	01.93254483801966e+17	03.70470949018562e+16
19	01.60750031880572e+18	03.08159560875109e+17
20	01.33712668607910e+19	02.56328641180396e+18
21	01.11222856612133e+20	02.13215426783455e+19
22	09.25157201763557e+20	01.77353642609360e+20
23	07.69550319103746e+21	01.47523633825774e+21
24	06.40115747360337e+22	01.22710885533357e+22
25	05.32451432800255e+23	01.02071519239854e+23
26	04.42895725437376e+24	08.49035926572275e+23
27	03.68402846770601e+25	07.06232267314958e+24
28	03.06439303234760e+26	05.87447479885138e+25
29	02.54897722398650e+27	04.88641708393506e+26
30	02.12025181490001e+28	04.06454580805096e+27
31	01.76363590709376e+29	03.38090923103121e+28
32	01.46700103776925e+30	02.81225695767302e+29
33	01.22025869180811e+31	02.33924919468130e+30
34	01.01501719262414e+32	01.94579900669707e+31
35	08.44296302283257e+32	01.61852520162101e+32
36	07.02289824477035e+33	01.34629723792954e+33
37	05.84168136506318e+34	01.11985667633807e+34
38	04.85913934412163e+35	09.31502301429064e+34
39	04.04185604966413e+36	07.74828204270752e+35
40	03.36203577820212e+37	06.44505918248830e+36
41	02.79655792661157e+38	05.36103198577703e+37
42	02.32619066328801e+39	04.45933282204994e+38
43	01.93493685593872e+40	03.70929501457351e+39
44	01.60949001109737e+41	03.08540987053193e+40
45	01.33878172193143e+42	02.56645913354790e+41
46	01.11360523309842e+43	02.13479335341462e+42
47	09.26302320138575e+43	01.77573163048309e+43
48	07.70502834210613e+44	01.47706232008571e+44
49	06.40908054119711e+45	01.22862771601553e+45
50	05.33110477466764e+46	01.02197858819792e+46
