==== test ====
n_dim = 48
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "gs"

==== solver ====
solve with gs

iter	||true residual||	||relative residual||
0	01.09376815438416e+01	01.00000000000000e+00
1	07.57073246252671e+00	06.92169764879413e-01
2	01.35898549609996e+00	01.24248040195057e-01
3	01.14844947172742e+00	01.04999351747816e-01
4	09.60616801639461e-01	08.78263640963595e-02
5	06.49427612520041e-01	05.93752533310589e-02
6	03.96925298476486e-01	03.62897106562746e-02
7	02.32498135866534e-01	02.12566195984598e-02
8	01.46203037451653e-01	01.33669129847698e-02
9	01.17397587427414e-01	01.07333155529212e-02
10	01.14345020932644e-01	01.04542283914844e-02
11	01.14941250055843e-01	01.05087398636652e-02
12	01.12757228962296e-01	01.03090612494367e-02
13	01.07499374729976e-01	09.82835112716396e-03
14	01.00170264780173e-01	09.15827219677767e-03
15	09.17603459624284e-02	08.38937809577147e-03
16	08.29970139349019e-02	07.58817246618714e-03
17	07.43569025586723e-02	06.79823253772997e-03
18	06.61284800949891e-02	06.04593211366833e-03
19	05.84710601606855e-02	05.34583676863471e-03
20	05.14596239554701e-02	04.70480181281602e-03
21	04.51162491994216e-02	04.12484574711578e-03
22	03.94312866261993e-02	03.60508636754020e-03
23	03.43772802812912e-02	03.14301345705637e-03
24	02.99179381799338e-02	02.73530894641735e-03
25	02.60137797818290e-02	02.37836324613748e-03
26	02.26255412263110e-02	02.06858657711151e-03
27	01.97160067184555e-02	01.80257640885116e-03
28	01.72506292544358e-02	01.57717421057562e-03
29	01.51970996579270e-02	01.38942604947971e-03
30	01.35239572486225e-02	01.23645556824948e-03
31	01.21984831013610e-02	01.11527137195079e-03
32	01.11844973875020e-02	01.02256564544059e-03
33	01.04410795150643e-02	09.54597139550396e-04
34	09.92316013795858e-03	09.07245296746255e-04
35	09.58410426164721e-03	08.76246416869168e-04
36	09.37929913295368e-03	08.57521687330042e-04
37	09.26931063526907e-03	08.47465763024353e-04
38	09.22167021597971e-03	08.43110139842383e-04
39	09.21120295461293e-03	08.42153148973264e-04
40	09.21934809598620e-03	08.42897835252584e-04
41	09.23301577833292e-03	08.44147431183123e-04
42	09.24337212600832e-03	08.45094281540202e-04
43	09.24475713740746e-03	08.45220909052037e-04
44	09.23380619659764e-03	08.44219696796412e-04
45	09.20877455902765e-03	08.41931127919209e-04
46	09.16903501784637e-03	08.38297858745848e-04
47	09.11471232747761e-03	08.33331295205758e-04
48	09.04642107204731e-03	08.27087626914945e-04
49	08.96507984491281e-03	08.19650838157797e-04
50	08.87178089234836e-03	08.11120789793299e-04
51	08.76769970971892e-03	08.01604953899536e-04
52	08.65403325360046e-03	07.91212764689888e-04
