==== test ====
n_dim = 48
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "jacobi"

==== solver ====
solve with jacobi

iter	||true residual||	||relative residual||
0	01.09376815438416e+01	01.00000000000000e+00
1	03.92874413095463e+02	03.59193501402196e+01
2	01.39631402872704e+04	01.27660877959391e+03
3	05.04090397820229e+05	04.60874999696856e+04
4	01.82152994531487e+07	01.66537116482466e+06
5	06.58295039413243e+08	06.01859760475377e+07
6	02.37909400310406e+10	02.17513555644121e+09
7	08.59811944916309e+11	07.86100730278094e+10
8	03.10738777548584e+13	02.84099309623386e+12
9	01.12301988149162e+15	01.02674399230789e+14
10	04.05862978882392e+16	03.71068564444457e+15
11	01.46680179418011e+18	01.34105366690438e+17
12	05.30106862534102e+19	04.84661086912497e+18
13	01.91582316590341e+21	01.75158067843190e+20
14	06.92384623256896e+22	06.33026862668845e+21
15	02.50230018644017e+24	02.28777934008244e+23
16	09.04339295347899e+25	08.26810774955397e+24
17	03.26831115444146e+27	02.98812060064198e+26
18	01.18117811060473e+29	01.07991634778377e+28
19	04.26881549229421e+30	03.90285224083686e+29
20	01.54276358016163e+32	01.41050328991364e+31
21	05.57559695088616e+33	05.09760402927939e+32
22	02.01503858131485e+35	01.84229040975271e+34
23	07.28241391900114e+36	06.65809649861445e+35
24	02.63188769582050e+38	02.40625738212535e+37
25	09.51172635949460e+39	08.69629118508222e+38
26	03.43756834615616e+41	03.14286746453290e+40
27	01.24234820135455e+43	01.13584235962150e+42
28	04.48988615785555e+44	04.10497063738665e+43
29	01.62265922617532e+46	01.48354952525470e+45
30	05.86434237243441e+47	05.36159546145893e+46
31	02.11939210071788e+49	01.93769775817910e+48
32	07.65955087768978e+50	07.00290170909434e+49
33	02.76818619962045e+52	02.53087108865322e+51
34	01.00043135141108e+54	09.14664910841523e+52
35	03.61559092023301e+55	03.30562825928019e+54
36	01.30668612934141e+57	01.19466463171725e+56
37	04.72240548857001e+58	04.31755621119628e+57
38	01.70669245641387e+60	01.56037863195498e+59
39	06.16804115578400e+61	05.63925831179177e+60
40	02.22914981293030e+63	02.03804600087796e+62
41	08.05621876213886e+64	07.36556346959552e+63
42	02.91154324249393e+66	02.66193820950407e+65
43	01.05224104548292e+68	09.62032987763644e+66
44	03.80283281264468e+69	03.47681800517026e+68
45	01.37435594847852e+71	01.25653315373069e+70
46	04.96696638053014e+72	04.54115102969585e+71
47	01.79507754542252e+74	01.64118651491845e+73
48	06.48746769599881e+75	05.93130058687032e+74
49	02.34459158680645e+77	02.14359101369756e+76
50	08.47342902734445e+78	07.74700652362236e+77
51	03.06232436751343e+80	02.79979294993980e+79
52	01.10673382660119e+82	01.01185413212577e+81
53	03.99977146750748e+83	03.65687321529263e+82
54	01.44553020859747e+85	01.32160568288932e+84
55	05.22419243434923e+86	04.77632523255414e+85
56	01.88803986445859e+88	01.72617922444601e+87
57	06.82343649201519e+89	06.23846695907608e+88
58	02.46601178486852e+91	02.25460192361973e+90
59	08.91224550888208e+92	08.14820350469985e+91
60	03.22091404826046e+94	02.94478682282900e+93
61	01.16404864474867e+96	01.06425538180354e+95
62	04.20690905450586e+97	03.84625300859536e+96
63	01.52039039542928e+99	01.39004814625027e+98
64	5.49473954526720e+100	05.02367848546569e+99
65	1.98581645616082e+102	1.81557348163874e+101
66	7.17680422351549e+103	6.56154066540397e+102
67	2.59372001389531e+105	2.37136179500097e+104
68	9.37378713555842e+106	8.57017741647113e+105
69	3.38771666918660e+108	3.09728954496216e+107
70	1.22433164576028e+110	1.11937035362822e+109
71	4.42477374936430e+111	4.04544028058273e+110
72	1.59912739337106e+113	1.46203506379416e+112
73	5.77929757560400e+114	5.28384150922552e+113
74	2.08865663897936e+116	1.90959723101042e+115
75	7.54847193535734e+117	6.90134550462158e+116
76	2.72804191438191e+119	2.49416835135224e+118
77	9.85923078254409e+120	9.01400424123273e+119
78	3.56315755674481e+122	3.25768997978465e+121
79	1.28773654397727e+124	1.17733958409342e+123
80	4.65392108063127e+125	4.25494293464015e+124
81	1.68194197221807e+127	1.53774999342990e+126
82	6.07859211382476e+128	5.55747768799074e+127
83	2.19682264290757e+130	2.00849022171840e+129
84	7.93938733512874e+131	7.25874793785616e+130
85	2.86931999088353e+133	2.62333473449782e+132
86	1.03698142722626e+135	9.48081568355888e+133
87	3.74768406392026e+136	3.42639712895132e+135
88	1.35442501420013e+138	1.23831088770612e+137
89	4.89493534620970e+139	4.47529517712625e+138
90	1.76904529910231e+141	1.61738599904507e+140
91	6.39338632470244e+142	5.84528476082961e+141
92	2.31059027813670e+144	2.11250461889492e+143
93	8.35054720968751e+145	7.63465929796544e+144
94	3.01791448536054e+147	2.75919030304898e+146
95	1.09068395306872e+149	9.97180205601096e+147
96	3.94176671092622e+150	3.60384117523116e+149
97	1.42456710393969e+152	1.30243973389570e+151
98	5.14843110324574e+153	4.70705887953426e+152
99	                  inf	                  inf
100	                  inf	                  inf
101	                  inf	                  inf
102	                  inf	                  inf
103	                  inf	                  inf
104	                  inf	                  inf
105	                  inf	                  inf
106	                  inf	                  inf
107	                  inf	                  inf
108	                  inf	                  inf
109	                  inf	                  inf
110	                  inf	                  inf
111	                  inf	                  inf
112	                  inf	                  inf
113	                  inf	                  inf
114	                  inf	                  inf
115	                  inf	                  inf
116	                  inf	                  inf
117	                  inf	                  inf
118	                  inf	                  inf
119	                  inf	                  inf
120	                  inf	                  inf
121	                  inf	                  inf
122	                  inf	                  inf
123	                  inf	                  inf
124	                  inf	                  inf
125	                  inf	                  inf
126	                  inf	                  inf
127	                  inf	                  inf
128	                  inf	                  inf
129	                  inf	                  inf
130	                  inf	                  inf
131	                  inf	                  inf
132	                  inf	                  inf
133	                  inf	                  inf
134	                  inf	                  inf
135	                  inf	                  inf
136	                  inf	                  inf
137	                  inf	                  inf
138	                  inf	                  inf
139	                  inf	                  inf
140	                  inf	                  inf
141	                  inf	                  inf
142	                  inf	                  inf
143	                  inf	                  inf
144	                  inf	                  inf
145	                  inf	                  inf
146	                  inf	                  inf
147	                  inf	                  inf
148	                  inf	                  inf
149	                  inf	                  inf
150	                  inf	                  inf
151	                  inf	                  inf
152	                  inf	                  inf
153	                  inf	                  inf
154	                  inf	                  inf
155	                  inf	                  inf
156	                  inf	                  inf
157	                  inf	                  inf
158	                  inf	                  inf
