==== test ====
n_dim = 48
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "sor"

==== solver ====
solve with sor
0	01.09376815438416e+01	01.00000000000000e+00
1	08.60707154117175e+00	07.86919193676647e-01
2	01.46434326871262e+00	01.33880590950018e-01
3	01.49870955831232e+00	01.37022599561437e-01
4	01.03530300588535e+00	09.46547037171941e-02
5	05.93564757292630e-01	05.42678770554291e-02
6	03.15181849864875e-01	02.88161479744615e-02
7	01.84125334744944e-01	01.68340369032426e-02
8	01.52307070711301e-01	01.39249867625792e-02
9	01.52461840268264e-01	01.39391368872051e-02
10	01.51382413445949e-01	01.38404480729451e-02
11	01.44298295677129e-01	01.31927680558935e-02
12	01.33053332968837e-01	01.21646742443103e-02
13	01.19833755969253e-01	01.09560472654943e-02
14	01.06161162878540e-01	09.70600236009921e-03
15	09.29414755364963e-02	08.49736529299728e-03
16	08.06569933623532e-02	07.37423127918429e-03
17	06.95264704092853e-02	06.35660035726968e-03
18	05.96142308918590e-02	05.45035350068541e-03
19	05.08992787697203e-02	04.65357110331842e-03
20	04.33174373871364e-02	03.96038568260621e-03
21	03.67863442103579e-02	03.36326707473673e-03
22	03.12197924714018e-02	02.85433364888741e-03
23	02.65353834083614e-02	02.42605192901251e-03
24	02.26576683195293e-02	02.07152386259469e-03
25	01.95177528551556e-02	01.78445064220625e-03
26	01.70497514124094e-02	01.55880854128627e-03
27	01.51848594428398e-02	01.38830696267525e-03
28	01.38453420737209e-02	01.26583883597493e-03
29	01.29422667935642e-02	01.18327332366440e-03
30	01.23797446479204e-02	01.13184358113725e-03
31	01.20641826191497e-02	01.10299267452548e-03
32	01.19135621436958e-02	01.08922188819839e-03
33	01.18626660245585e-02	01.08456860597095e-03
34	01.18636497153310e-02	01.08465854192023e-03
35	01.18836686609601e-02	01.08648881514119e-03
36	01.19014898741398e-02	01.08811815615905e-03
37	01.19042662643239e-02	01.08837199333405e-03
38	01.18849315774875e-02	01.08660427987861e-03
39	01.18402682125478e-02	01.08252084000511e-03
40	01.17695413592842e-02	01.07605449217992e-03
41	01.16735609022643e-02	01.06727928176306e-03
42	01.15540492510236e-02	01.05635268358395e-03
43	01.14132216593755e-02	01.04347723177236e-03
44	01.12535117928742e-02	01.02887542920011e-03
45	01.10773956802085e-02	01.01277365187558e-03
46	01.08872819072143e-02	09.95392109705770e-04
47	01.06854461750795e-02	09.76938863345854e-04
48	01.04739953740369e-02	09.57606539562696e-04
49	01.02548511025147e-02	09.37570824439355e-04
50	01.00297458035253e-02	09.16990110136501e-04
