==== test ====
n_dim = 96
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "gs"

==== solver ====
solve with gs

iter	||true residual||	||relative residual||
0	01.56211260529836e+01	01.00000000000000e+00
1	01.24136995247749e+01	07.94673795132968e-01
2	02.51989860966783e+00	01.61313505897134e-01
3	02.51462837556349e+00	01.60976127267292e-01
4	01.60522664533244e+00	01.02759982851931e-01
5	08.36201108511376e-01	05.35301428126985e-02
6	04.45730860992929e-01	02.85338495753189e-02
7	03.58354677655832e-01	02.29403870399848e-02
8	03.60607054152881e-01	02.30845748846644e-02
9	03.49732306819021e-01	02.23884184554175e-02
10	03.19298984725302e-01	02.04402028152329e-02
11	02.78825246244445e-01	01.78492411685770e-02
12	02.36014162109815e-01	01.51086523026128e-02
13	01.95348430425461e-01	01.25054000436896e-02
14	01.59039433021211e-01	01.01810479271330e-02
15	01.27960309853818e-01	08.19149076832256e-03
16	01.02273646573133e-01	06.54713662934683e-03
17	08.18054578670287e-02	05.23684768880053e-03
18	06.62368471608927e-02	04.24020950450251e-03
19	05.51519752590069e-02	03.53060176788428e-03
20	04.79763038883359e-02	03.07124491061723e-03
21	04.39079614515858e-02	02.81080642347160e-03
22	04.19924850681399e-02	02.68818553321382e-03
23	04.13338483336565e-02	02.64602232857355e-03
24	04.12595114205596e-02	02.64126358628796e-03
25	04.13462572715807e-02	02.64681669755067e-03
26	04.13629330554562e-02	02.64788421239044e-03
27	04.12015317154351e-02	02.63755196492802e-03
28	04.08252776072524e-02	02.61346573024132e-03
29	04.02356690238764e-02	02.57572142286065e-03
30	03.94531129825277e-02	02.52562541578059e-03
31	03.85060089971460e-02	02.46499572863965e-03
32	03.74247935289899e-02	02.39578077803437e-03
33	03.62388275414117e-02	02.31986013162542e-03
34	03.49748931360830e-02	02.23894826899518e-03
35	03.36565896381644e-02	02.15455592151349e-03
36	03.23042220558827e-02	02.06798293198030e-03
37	03.09349483618700e-02	01.98032768296889e-03
38	02.95630518926909e-02	01.89250453471915e-03
39	02.82002629901430e-02	01.80526441528566e-03
40	02.68560877005540e-02	01.71921586250977e-03
41	02.55381210425776e-02	01.63484507813058e-03
42	02.42523338461522e-02	01.55253429003091e-03
43	02.30033288084279e-02	01.47257814388063e-03
44	02.17945651715267e-02	01.39519808607934e-03
45	02.06285534654019e-02	01.32055483039022e-03
46	01.95070227744741e-02	01.24875906565957e-03
47	01.84310633985649e-02	01.17988058838080e-03
48	01.74012478431114e-02	01.11395604798848e-03
49	01.64177329435686e-02	01.05099548444095e-03
50	01.54803456994057e-02	09.90987822958449e-04
51	01.45886551181726e-02	09.33905473183623e-04
52	01.37420320834526e-02	08.79708161680698e-04
53	01.29396989789890e-02	08.28346108667218e-04
54	01.21807705352019e-02	07.79762642839402e-04
55	01.14642871171682e-02	07.33896332331216e-04
56	01.07892414464683e-02	06.90682695336656e-04
57	01.01545995442537e-02	06.50055540798495e-04
58	09.55931649867163e-03	06.11947977773718e-04
59	09.00234750041453e-03	05.76293121883817e-04
60	08.48265445850182e-03	05.43024518829849e-04
61	07.99920841343640e-03	05.12076298872743e-04
62	07.55098791733758e-03	04.83383073136100e-04
63	07.13697356469192e-03	04.56879583487440e-04
64	06.75613894801268e-03	04.32500123556860e-04
65	06.40743849084838e-03	04.10177759856473e-04
66	06.08979287625498e-03	03.89843398971347e-04
67	05.80207312413525e-03	03.71424768256517e-04
68	05.54308472919778e-03	03.54845400414593e-04
69	05.31155357913433e-03	03.40023732035620e-04
70	05.10611553298030e-03	03.26872436446735e-04
71	04.92531145744524e-03	03.15298105958535e-04
72	04.76758913118270e-03	03.05201373768578e-04
73	04.63131273760901e-03	02.96477521652445e-04
74	04.51477976616396e-03	02.89017561912680e-04
75	04.41624419405059e-03	02.82709721378063e-04
76	04.33394402164080e-03	02.77441204106604e-04
77	04.26613075112904e-03	02.73100078487250e-04
78	04.21109831404395e-03	02.69577129059761e-04
79	04.16720924933932e-03	02.66767532328017e-04
80	04.13291650362020e-03	02.64572252320494e-04
81	04.10677991926942e-03	02.62899096092055e-04
82	04.08747715110375e-03	02.61663412563211e-04
83	04.07380930383192e-03	02.60788453406907e-04
84	04.06470196083046e-03	02.60205438906507e-04
85	04.05920247646494e-03	02.59853384621377e-04
86	04.05647445798152e-03	02.59678748140359e-04
87	04.05579031089058e-03	02.59634951868015e-04
88	04.05652260673314e-03	02.59681830424662e-04
89	04.05813488958086e-03	02.59785042116460e-04
90	04.06017239265371e-03	02.59915474651601e-04
91	04.06225300426765e-03	02.60048666817574e-04
92	04.06405871088836e-03	02.60164260700793e-04
93	04.06532765605576e-03	02.60245493331724e-04
94	04.06584688635054e-03	02.60278732311618e-04
95	04.06544580687206e-03	02.60253056859213e-04
96	04.06399033469426e-03	02.60159883539129e-04
97	04.06137771722343e-03	02.59992634554519e-04
98	04.05753196906095e-03	02.59746445633859e-04
99	04.05239987456833e-03	02.59417910131667e-04
