==== test ====
n_dim = 96
max_it = 1000, rtol = 1.00e-06
sor_omega = 1.50
solver type = "jacobi"

==== solver ====
solve with jacobi

iter	||true residual||	||relative residual||
0	01.56211260529836e+01	01.00000000000000e+00
1	01.12670905802566e+03	07.21272624139961e+01
2	08.12067809335880e+04	05.19852286308630e+03
3	05.94110381361490e+06	03.80324939025774e+05
4	04.35203708533008e+08	02.78599447348987e+07
5	03.18852124153095e+10	02.04115966462095e+09
6	02.33612210689120e+12	01.49548892888232e+11
7	01.71160306522397e+14	01.09569762091323e+13
8	01.25403814918821e+16	08.02783451676132e+14
9	09.18794666225807e+17	05.88174414001557e+16
10	06.73172220200615e+19	04.30937064279078e+18
11	04.93212308668440e+21	03.15734158341446e+20
12	03.61361289365459e+23	02.31328579092056e+22
13	02.64758156192317e+25	01.69487241377039e+24
14	01.93980050806302e+27	01.24178020296592e+26
15	01.42123138535141e+29	09.09813659099155e+27
16	01.04129194848235e+31	06.66592116951433e+29
17	07.62922162534481e+32	04.88391272144409e+31
18	05.58969294763693e+34	03.57829066142727e+33
19	04.09539384005637e+36	02.62170206306873e+35
20	03.00056744838949e+38	01.92083940569470e+37
21	02.19842226754208e+40	01.40733917650078e+39
22	01.61071548950481e+42	01.03111355995823e+41
23	01.18012104700493e+44	07.55464774435729e+42
24	08.64637916912425e+45	05.53505498886416e+44
25	06.33493258390751e+47	04.05536231025904e+46
26	04.64140769883884e+49	02.97123759394564e+48
27	03.40061478816125e+51	02.17693319715050e+50
28	02.49152448735629e+53	01.59497111725849e+52
29	01.82546235248615e+55	01.16858563607679e+54
30	01.33745938169772e+57	08.56186280784970e+55
31	09.79914811858503e+58	06.27301007965008e+57
32	07.17953047127907e+60	04.59603900956155e+59
33	05.26021825206045e+62	03.36737456327982e+61
34	03.85399799750140e+64	02.46717041039772e+63
35	02.82370423678271e+66	01.80761887920583e+65
36	02.06884010370369e+68	01.32438602485290e+67
37	01.51577467602251e+70	09.70336370682449e+68
38	01.11056087145545e+72	07.10935221755883e+70
39	08.13673343880014e+73	05.20880083241250e+72
40	05.96153103857526e+75	03.81632605636431e+74
41	04.36782802229011e+77	02.79610317942212e+76
42	03.20017148428067e+79	02.04861766906327e+78
43	02.34466592469766e+81	01.50095832832092e+80
44	01.71786365994510e+83	01.09970539519268e+82
45	01.25862517259916e+85	08.05719874694161e+83
46	09.22155443436586e+86	05.90325844826314e+85
47	06.75634557748152e+88	04.32513351122411e+87
48	04.95016386741020e+90	03.16889054644351e+89
49	03.62683081159794e+92	02.32174735630229e+91
50	02.65726591851958e+94	01.70107193905657e+93
51	01.94689593436389e+96	01.24632240195772e+95
52	01.42642998309870e+98	09.13141586759205e+96
53	1.04510079905619e+100	06.69030385845060e+98
54	7.65712788660806e+101	4.90177715782889e+100
55	5.61013899566624e+103	3.59137937728550e+102
56	4.11037402231990e+105	2.63129175731530e+104
57	3.01154296113047e+107	1.92786547584083e+106
58	2.20646368371502e+109	1.41248695915465e+108
59	1.61660718455291e+111	1.03488517989658e+110
60	1.18443770837319e+113	7.58228122835591e+111
61	8.67800600183720e+114	5.55530118149181e+113
62	6.35810457869979e+116	4.07019606469754e+115
63	4.65838509735126e+118	2.98210582358212e+117
64	3.41305359901174e+120	2.18489601033586e+119
65	2.50063801645564e+122	1.60080522234697e+121
66	1.83213955126689e+124	1.17286010307622e+123
67	1.34235155717348e+126	8.59318049557060e+124
68	9.83499156382539e+127	6.29595557354007e+126
69	7.20579184667463e+129	4.61285045792097e+128
70	5.27945914347146e+131	3.37969178762443e+130
71	3.86809519906507e+133	2.47619485685303e+132
72	2.83403281707982e+135	1.81423080990921e+134
73	2.07640753263433e+137	1.32923038044223e+136
74	1.52131909538828e+139	9.73885679065830e+137
75	1.11462309475286e+141	7.13535689406956e+139
76	8.16649608305448e+142	5.22785364854970e+141
77	5.98333720057465e+144	3.83028546103554e+143
78	4.38380471767645e+146	2.80633080023009e+145
79	3.21187711113400e+148	2.05611112812225e+147
80	2.35324227272933e+150	1.50644855226674e+149
81	1.72414728289686e+152	1.10372791119470e+151
82	1.26322898732941e+154	8.08667046821593e+152
83	                  inf	                  inf
84	                  inf	                  inf
85	                  inf	                  inf
86	                  inf	                  inf
87	                  inf	                  inf
88	                  inf	                  inf
89	                  inf	                  inf
90	                  inf	                  inf
91	                  inf	                  inf
92	                  inf	                  inf
93	                  inf	                  inf
94	                  inf	                  inf
95	                  inf	                  inf
96	                  inf	                  inf
97	                  inf	                  inf
98	                  inf	                  inf
99	                  inf	                  inf
100	                  inf	                  inf
101	                  inf	                  inf
102	                  inf	                  inf
103	                  inf	                  inf
104	                  inf	                  inf
105	                  inf	                  inf
106	                  inf	                  inf
107	                  inf	                  inf
108	                  inf	                  inf
109	                  inf	                  inf
110	                  inf	                  inf
111	                  inf	                  inf
112	                  inf	                  inf
113	                  inf	                  inf
114	                  inf	                  inf
115	                  inf	                  inf
116	                  inf	                  inf
117	                  inf	                  inf
118	                  inf	                  inf
119	                  inf	                  inf
120	                  inf	                  inf
121	                  inf	                  inf
122	                  inf	                  inf
123	                  inf	                  inf
124	                  inf	                  inf
125	                  inf	                  inf
126	                  inf	                  inf
127	                  inf	                  inf
128	                  inf	                  inf
129	                  inf	                  inf
130	                  inf	                  inf
131	                  inf	                  inf
132	                  inf	                  inf
133	                  inf	                  inf
134	                  inf	                  inf
135	                  inf	                  inf
136	                  inf	                  inf
137	                  inf	                  inf
138	                  inf	                  inf
139	                  inf	                  inf
140	                  inf	                  inf
141	                  inf	                  inf
142	                  inf	                  inf
143	                  inf	                  inf
144	                  inf	                  inf
145	                  inf	                  inf
146	                  inf	                  inf
147	                  inf	                  inf
148	                  inf	                  inf
149	                  inf	                  inf
150	                  inf	                  inf
151	                  inf	                  inf
152	                  inf	                  inf
153	                  inf	                  inf
154	                  inf	                  inf
155	                  inf	                  inf
156	                  inf	                  inf
157	                  inf	                  inf
158	                  inf	                  inf
159	                  inf	                  inf
160	                  inf	                  inf
161	                  inf	                  inf
162	                  inf	                  inf
163	                  inf	                  inf
164	                  inf	                  inf
165	                  inf	                  inf
166	                  inf	                  inf
167	                  inf	                  inf
168	                  inf	                  inf
169	                  inf	                  inf
170	                  inf	                  inf
171	                  inf	                  inf
172	                  inf	                  inf
173	                  inf	                  inf
174	                  inf	                  inf
175	                  inf	                  inf
176	                  inf	                  inf
177	                  inf	                  inf
178	                  inf	                  inf
179	                  inf	                  inf
180	                  inf	                  inf
181	                  inf	                  inf
182	                  inf	                  inf
183	                  inf	                  inf
184	                  inf	                  inf
185	                  inf	                  inf
186	                  inf	                  inf
187	                  inf	                  inf
188	                  inf	                  inf
189	                  inf	                  inf
190	                  inf	                  inf
191	                  inf	                  inf
192	                  inf	                  inf
193	                  inf	                  inf
194	                  inf	                  inf
195	                  inf	                  inf
196	                  inf	                  inf
197	                  inf	                  inf
198	                  inf	                  inf
199	                  inf	                  inf
200	                  inf	                  inf
201	                  inf	                  inf
202	                  inf	                  inf
203	                  inf	                  inf
204	                  inf	                  inf
205	                  inf	                  inf
206	                  inf	                  inf
207	                  inf	                  inf
208	                  inf	                  inf
209	                  inf	                  inf
210	                  inf	                  inf
211	                  inf	                  inf
212	                  inf	                  inf
213	                  inf	                  inf
214	                  inf	                  inf
215	                  inf	                  inf
216	                  inf	                  inf
217	                  inf	                  inf
218	                  inf	                  inf
219	                  inf	                  inf
220	                  inf	                  inf
221	                  inf	                  inf
222	                  inf	                  inf
223	                  inf	                  inf
224	                  inf	                  inf
225	                  inf	                  inf
226	                  inf	                  inf
227	                  inf	                  inf
228	                  inf	                  inf
229	                  inf	                  inf
230	                  inf	                  inf
231	                  inf	                  inf
232	                  inf	                  inf
233	                  inf	                  inf
234	                  inf	                  inf
235	                  inf	                  inf
236	                  inf	                  inf
237	                  inf	                  inf
238	                  inf	                  inf
239	                  inf	                  inf
240	                  inf	                  inf
241	                  inf	                  inf
242	                  inf	                  inf
243	                  inf	                  inf
244	                  inf	                  inf
245	                  inf	                  inf
246	                  inf	                  inf
247	                  inf	                  inf
248	                  inf	                  inf
249	                  inf	                  inf
250	                  inf	                  inf
251	                  inf	                  inf
252	                  inf	                  inf
